id,nazev,absolutni_magnituda,prumer_max_metry,rychlost_km_h,vzdalenost_minuti_km,je_sentry_objekt,je_nebezpecny
2330659,330659 (2008 GG2),23.01,148.6072435691,25884.957431079,22056554.550532644,False,False
2363599,363599 (2004 FG11),21.05,366.4713084395,90256.6326186054,8454616.104453234,False,True
3773918,(2017 GS6),24.8,65.1688382168,62304.8408372581,71468855.865914946,False,False
3788032,(2017 UR5),28.7,10.8153350678,30603.3122740236,56966528.770282768,False,False
3840842,(2019 GK3),29.5,7.4823837607,19938.9876227938,12895114.375801133,True,False
54016396,(2020 FW5),25.72,42.6618789186,39647.8708141716,19969989.355163941,False,False
54051260,(2020 QL2),23.47,120.23751136,25995.4924886159,55778834.703673553,False,False
54229748,(2021 XC5),27.05,23.1227763601,29994.77963544,71763753.778788142,False,False
54352299,(2023 FL4),25.07,57.5492911629,87738.7424877302,66924883.87448353,False,False
54465216,(2024 OU),24.31,81.6657544926,38848.8320057286,21869024.928851397,False,False
54471082,(2024 RS16),29.21,8.5514542927,81112.5769919497,58057736.608919361,True,False
54491558,(2024 TP17),24.21,85.5145429273,32117.2755699966,26175839.057936925,False,False
54607053,(2026 FE7),25.452,48.2658522127,28184.3088879578,3394521.797499416,False,False
54607482,(2026 GC),24.901,62.2071033096,29520.0916068477,5214458.424931166,False,False
54607531,(2026 GC1),25.737,42.3291920238,20081.1837169852,9424388.395709872,False,False
3092506,(2001 WJ4),27.4,19.6806745089,25411.1347608762,61184499.701372909,False,False
3448110,(2009 DC12),22.9,156.3291544087,53672.3622218308,49813207.674809147,False,False
3991598,(2020 DC),26.73,26.7941496575,37460.6288637282,25765267.120290232,False,False
54356038,(2023 HB4),26.84,25.4706471064,31401.2729359848,6434059.518122692,False,False
54607617,(2026 GR1),27.769,16.6050420136,23945.689457486,326326.974260857,True,False
3152311,(2003 GX),24.1,89.9580388169,23080.3473790453,10631462.582141634,False,False
3520209,(2010 JO33),25.0,59.4346868419,45433.2283751488,23091079.44207071,False,False
3608323,(2012 QG49),22.62,177.844311625,26126.5654639275,59609172.421151534,False,False
3667477,(2014 GC49),28.6,11.3250461062,49937.8255174418,20904479.961167234,False,False
3671125,(2014 JG55),29.2,8.5909260123,80044.4619693709,65362889.399707396,False,False
3878588,(2019 TE3),25.5,47.2106498806,64659.9709274915,53382612.493974259,False,False
54138712,(2021 HE1),28.93,9.7283677369,35093.9997891973,10070728.087415052,False,False
54190303,(2021 QV1),26.61,28.3165265026,71289.2286658692,73671279.944145105,False,False
54269399,(2022 GE2),26.93,24.436554919,32979.9814419309,4612750.39007284,False,False
54319164,(2022 UP6),28.18,13.7416846762,29008.3393149531,58641027.93423794,False,False
54607525,(2026 GW),27.733,16.8826251877,30742.7813573929,1407795.049093869,False,False
54607624,(2026 GY1),25.26,52.7278397554,36336.153152003,1121755.58905251,False,False
3602623,(2012 HN),24.0,94.1976305719,47267.1280053101,17562620.249136059,False,False
3666974,(2014 GS1),26.7,27.1668934089,63941.4955651442,32461319.377795595,False,False
3826768,(2018 PG21),19.44,769.2012454873,54373.6868174528,15335446.130821194,False,False
3906633,(2019 XF2),27.1,22.5964377109,29277.8008990945,66627537.253915452,False,False
3986725,(2020 BH),28.26,13.2446345244,16302.0164097009,51160480.900983058,True,False
54016780,(2020 HK7),21.84,254.706471064,96903.898974122,38044039.573192834,False,False
54356389,(2023 HM4),27.69,17.2202708809,40072.9927895165,51421343.907171063,True,False
54607046,(2026 FX6),26.289,32.8276639336,22221.2883046629,7968184.98682249,False,False
54607464,(2026 FH13),23.864,100.2859236484,103829.3330076148,9502997.379021754,False,False
54607488,(2026 GE),28.415,12.3321835134,39059.4649927111,176709.626618183,False,False
54607506,(2026 GL),24.596,71.5879586838,45302.1863350928,10860742.964728423,False,False
54607527,(2026 GY),28.389,12.4807297335,19103.8487949973,1560305.589622769,True,False
54607638,(2026 GC2),27.132,22.2658858769,84342.0658807318,542466.485469615,False,False
3727664,(2015 SB),26.6,28.4472296503,32155.376463263,68849212.334046561,False,False
3734647,(2015 VE106),24.3,82.0427064882,27768.5831397945,65835720.455298144,False,False
3750672,(2016 GE135),23.02,147.9244553064,31690.1436912877,69567435.747059051,False,False
54271303,(2022 GO3),26.85,25.3536201132,61072.6924947244,34256086.672232603,True,False
54487277,(2024 TO2),26.0,37.5007521798,75540.4721613,59446485.739832263,False,False
54521724,(2025 DJ29),26.43,30.7637999642,31217.8216728914,21924257.210444747,False,False
54576636,(2026 AV6),23.51,118.0429294515,18018.1086902594,21834394.847040411,False,False
54607483,(2026 GD),26.625,28.1215969052,45564.9110387442,250704.263629915,True,False
54607530,(2026 GB1),24.323,81.1783049535,56437.0215741234,6261178.848987159,False,False
54607619,(2026 GT1),26.24,33.5768521834,40239.7019297111,1092866.505020218,False,False
2302831,302831 (2003 FH),19.12,891.332985597,93248.9485493616,27762562.40469916,False,True
2515049,515049 (2010 FL),19.3,820.4270648822,78198.654580857,24074792.878510944,False,False
3137865,(2002 TB70),21.68,274.1826557868,33270.8406203426,5148743.641069472,False,True
3560131,(2011 FT9),26.2,34.201092472,21137.4659752887,1321186.185045654,False,False
3757728,(2016 QA2),25.1,56.7596852866,45774.7513135207,31786063.749240458,False,False
54102026,(2020 YW3),25.73,42.46586539,77469.8891675335,43650761.41541053,False,False
54300598,(2022 RL),28.73,10.6669431075,33188.2601123112,11326047.512122879,True,False
54353611,(2023 FN13),27.21,21.4802820076,39616.4680526498,32229904.487920285,False,False
54489663,(2024 TB7),29.23,8.4730540885,27085.378476951,1863693.645371862,True,False
54527288,(2025 HJ1),25.35,50.5871227598,39480.3728983951,19808179.092966065,False,False
54607490,(2026 GG),25.628,44.5081946573,51199.5880258283,4824295.197181779,False,False
54607500,(2026 GJ),26.688,27.3174387992,61638.1469618324,5370810.549002944,False,False
54607637,(2026 GD2),25.571,45.6919800788,46876.5414505627,4501425.444656409,False,False
3330155,(2006 HV5),19.41,779.9019007224,61777.7495973493,73421658.350219954,False,True
3610026,(2012 TB53),23.1,142.5738833281,34099.2480897203,29381533.128157743,False,False
3644150,(2013 ML3),22.4,196.8067450894,74461.2406615278,64901426.450815605,False,False
3752771,(2016 JQ5),28.1,14.2573883328,77105.4491385295,58232988.808208643,False,False
3774730,(2017 KA5),25.6,45.0858206172,73266.6059931355,73314506.392507812,False,False
3785933,(2017 UA),28.5,11.8587790858,52238.6895857494,35581732.713858058,False,False
3830881,(2018 SE2),24.7,68.2401509401,36525.4838852159,54138670.225575265,False,False
54254970,(2022 EF5),22.44,193.214617164,60314.4799902648,54133903.483924946,False,False
54357455,(2023 JK),24.8,65.1688382168,80863.3292400677,67594783.226102252,True,False
54412463,(2023 XL),25.61,44.8786700881,64102.037325912,71812527.067625733,False,False
54440653,(2024 JV6),28.2,13.6157001539,12134.1337491295,74551062.788606842,True,False
54607044,(2026 FV6),25.405,49.3219204928,40170.06789363,2863752.279726379,False,False
54607622,(2026 GW1),26.957,24.1345929665,49104.0587295853,1187120.403657126,False,False
2192559,192559 (1998 VO),20.43,487.5733713755,63355.3688521138,48958074.998894104,False,True
3179348,(2004 GD),23.7,108.1533506775,50571.0178790004,19750710.203537919,False,False
3634154,(2013 GM3),26.3,32.6617897446,26674.2298293653,260528.056557075,True,False
54117602,(2021 CD8),28.55,11.5888403177,9071.6273844736,26727463.47621433,True,False
54202339,(2021 TH1),28.0,14.9293183439,51030.9751608576,36364866.702502696,False,False
54355040,(2023 HK3),27.97,15.1370058502,35641.9144125645,19010075.638339238,True,False
54387386,(2023 SS6),25.41,49.2084832235,57488.1235391246,34522986.655585097,False,False
54432219,(2024 GC),24.91,61.9498100059,55666.8383262646,52089565.817873475,False,False
54607523,(2026 FX13),25.471,47.8453767575,42282.3484647108,2715689.702746615,False,False
54607524,(2026 GU),21.377,315.239027297,41104.4094943056,14804537.726385649,False,True
54607623,(2026 GX1),26.729,26.8064916611,16932.7288892332,5018944.450772492,False,False
3802103,(2018 FK5),28.3,13.0028927004,36109.6864029724,7889940.81287639,True,False
